powiat,rok,wartość
powiat pleszewski,2014,1433.28
powiat pleszewski,2015,1277.0
powiat pleszewski,2016,1248.46
powiat pleszewski,2017,1311.44
powiat pleszewski,2018,1319.1
powiat pleszewski,2019,1451.93
powiat Kalisz,2011,0.0
powiat Kalisz,2012,0.0
powiat Kalisz,2013,0.0
powiat Kalisz,2014,0.0
powiat Kalisz,2015,0.0
powiat Kalisz,2016,0.0
powiat Kalisz,2017,0.0
powiat Kalisz,2018,0.0
powiat Kalisz,2019,0.0
powiat gnieźnieński,2011,861.46
powiat gnieźnieński,2012,870.14
powiat gnieźnieński,2013,859.64
powiat gnieźnieński,2014,859.68
powiat gnieźnieński,2015,847.14
powiat gnieźnieński,2016,908.57
powiat gnieźnieński,2017,954.25
powiat gnieźnieński,2018,1149.23
powiat gnieźnieński,2019,1061.9
powiat kolski,2011,811.11
powiat kolski,2012,810.77
powiat kolski,2013,838.31
powiat kolski,2014,844.75
powiat kolski,2015,814.94
powiat kolski,2016,866.57
powiat kolski,2017,967.03
powiat kolski,2018,985.58
powiat kolski,2019,1164.64
powiat koniński,2011,591.83
powiat koniński,2012,537.55
powiat koniński,2013,599.5
powiat koniński,2014,595.13
powiat koniński,2015,602.21
powiat koniński,2016,731.61
powiat koniński,2017,718.46
powiat koniński,2018,807.42
powiat koniński,2019,852.11
powiat słupecki,2011,1172.04
powiat słupecki,2012,1060.35
powiat słupecki,2013,1080.36
powiat słupecki,2014,1167.29
powiat słupecki,2015,1023.28
powiat słupecki,2016,1073.77
powiat słupecki,2017,1084.64
powiat słupecki,2018,1163.84
powiat słupecki,2019,1315.01
powiat turecki,2011,915.52
powiat turecki,2012,1006.96
powiat turecki,2013,928.33
powiat turecki,2014,920.42
powiat turecki,2015,885.97
powiat turecki,2016,924.16
powiat turecki,2017,993.31
powiat turecki,2018,1052.56
powiat turecki,2019,1148.63
powiat wrzesiński,2011,840.5
powiat wrzesiński,2012,840.49
powiat wrzesiński,2013,834.09
powiat wrzesiński,2014,824.19
powiat wrzesiński,2015,834.97
powiat wrzesiński,2016,875.57
powiat wrzesiński,2017,931.74
powiat wrzesiński,2018,1362.22
powiat wrzesiński,2019,1542.24
powiat Konin,2011,0.0
powiat Konin,2012,0.0
powiat Konin,2013,0.0
powiat Konin,2014,0.0
powiat Konin,2015,0.0
powiat Konin,2016,0.0
powiat Konin,2017,0.0
powiat Konin,2018,0.0
powiat Konin,2019,0.0
powiat gostyński,2011,973.51
powiat gostyński,2012,948.65
powiat gostyński,2013,927.75
powiat gostyński,2014,896.95
powiat gostyński,2015,930.97
powiat gostyński,2016,1057.65
powiat gostyński,2017,1072.47
powiat gostyński,2018,1061.3
powiat gostyński,2019,1240.7
"powiat grodziski, wielkopolskie",2011,740.56
"powiat grodziski, wielkopolskie",2012,708.24
"powiat grodziski, wielkopolskie",2013,742.89
"powiat grodziski, wielkopolskie",2014,715.38
"powiat grodziski, wielkopolskie",2015,766.88
"powiat grodziski, wielkopolskie",2016,769.05
"powiat grodziski, wielkopolskie",2017,800.35
"powiat grodziski, wielkopolskie",2018,845.17
"powiat grodziski, wielkopolskie",2019,1009.16
powiat kościański,2011,914.0
powiat kościański,2012,745.83
powiat kościański,2013,798.31
powiat kościański,2014,792.36
powiat kościański,2015,834.52
powiat kościański,2016,895.82
powiat kościański,2017,1039.33
powiat kościański,2018,1183.97
powiat kościański,2019,1129.65
powiat leszczyński,2011,650.39
powiat leszczyński,2012,670.64
powiat leszczyński,2013,721.02
powiat leszczyński,2014,715.23
powiat leszczyński,2015,804.47
powiat leszczyński,2016,681.74
